time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	noise_power(dBm)	sinr(dB)	cqi	mcs
0.0	0	7489	229.41691307209834	-inf	10.0	-inf	-118.0			
0.0	0	9542	83.66391069296373	-inf	10.0	-inf	-118.0			
0.0	0	1356	244.40060622050603	-inf	10.0	-inf	-118.0			
0.0	0	5461	245.37899477363445	-inf	10.0	-inf	-118.0			
0.0	0	9563	163.7466957126898	-inf	10.0	-inf	-118.0			
0.0	0	1373	161.83741400560538	-inf	10.0	-inf	-118.0			
0.0	0	3440	225.69257463078074	-inf	10.0	-inf	-118.0			
0.0	0	5494	81.91663081593678	-inf	10.0	-inf	-118.0			
0.0	0	1404	158.03243038059193	-inf	10.0	-inf	-118.0			
0.0	0	3453	260.12094826072666	-inf	10.0	-inf	-118.0			
0.0	0	5501	215.57940813516555	-inf	10.0	-inf	-118.0			
0.0	0	1433	133.8960363042776	-inf	10.0	-inf	-118.0			
0.0	0	5533	233.49878178789155	-inf	10.0	-inf	-118.0			
0.0	0	9632	54.43096343937647	-inf	10.0	-inf	-118.0			
0.0	0	7589	115.44429087168427	-inf	10.0	-inf	-118.0			
0.0	0	9641	142.2411062816592	-inf	10.0	-inf	-118.0			
0.0	0	1459	173.63025926705546	-inf	10.0	-inf	-118.0			
0.0	0	1464	202.80926605719418	-inf	10.0	-inf	-118.0			
0.0	0	7612	192.71106508557517	-inf	10.0	-inf	-118.0			
0.0	0	5566	159.42038775754304	-inf	10.0	-inf	-118.0			
0.0	0	1472	236.25615689748938	-inf	10.0	-inf	-118.0			
0.0	0	7626	186.6027063208014	-inf	10.0	-inf	-118.0			
0.0	0	7632	173.41983030265297	-inf	10.0	-inf	-118.0			
0.0	0	9683	112.2085617392281	-inf	10.0	-inf	-118.0			
0.0	0	1494	249.25914242637378	-inf	10.0	-inf	-118.0			
0.0	0	1499	187.53409169140508	-inf	10.0	-inf	-118.0			
0.0	0	7647	260.41824042673954	-inf	10.0	-inf	-118.0			
0.0	0	3555	99.90508162442012	-inf	10.0	-inf	-118.0			
0.0	0	1512	157.25865290312078	-inf	10.0	-inf	-118.0			
0.0	0	9704	90.1710082852	-inf	10.0	-inf	-118.0			
0.0	0	3562	216.2056127311285	-inf	10.0	-inf	-118.0			
0.0	0	1526	113.58173715443446	-inf	10.0	-inf	-118.0			
0.0	0	7674	127.26358230054	-inf	10.0	-inf	-118.0			
0.0	0	3579	232.69976124599313	-inf	10.0	-inf	-118.0			
0.0	0	9723	143.36161978628402	-inf	10.0	-inf	-118.0			
0.0	0	5631	28.27571591372407	-inf	10.0	-inf	-118.0			
0.0	0	5652	258.65652250590455	-inf	10.0	-inf	-118.0			
0.0	0	9760	210.07368793019728	-inf	10.0	-inf	-118.0			
0.0	0	1569	102.48187342546068	-inf	10.0	-inf	-118.0			
0.0	0	5667	153.46926033920568	-inf	10.0	-inf	-118.0			
0.0	0	9773	186.8458907193591	-inf	10.0	-inf	-118.0			
0.0	0	3641	227.13358723494923	-inf	10.0	-inf	-118.0			
0.0	0	5692	216.59527226178236	-inf	10.0	-inf	-118.0			
0.0	0	9796	198.2304402275532	-inf	10.0	-inf	-118.0			
0.0	0	7762	186.8257256691855	-inf	10.0	-inf	-118.0			
0.0	0	5719	161.90992330610916	-inf	10.0	-inf	-118.0			
0.0	0	3692	162.7291322223201	-inf	10.0	-inf	-118.0			
0.0	0	9839	273.2272541130725	-inf	10.0	-inf	-118.0			
0.0	0	5747	217.93204905752643	-inf	10.0	-inf	-118.0			
0.0	0	5750	259.3124876918385	-inf	10.0	-inf	-118.0			
0.0	0	3711	200.79994624773025	-inf	10.0	-inf	-118.0			
0.0	0	7810	167.7809326705629	-inf	10.0	-inf	-118.0			
0.0	0	9858	130.5618061831569	-inf	10.0	-inf	-118.0			
0.0	0	5769	276.6685848664141	-inf	10.0	-inf	-118.0			
0.0	0	7820	73.05670998030604	-inf	10.0	-inf	-118.0			
0.0	0	5773	194.01364741015013	-inf	10.0	-inf	-118.0			
0.0	0	7821	249.25695969810656	-inf	10.0	-inf	-118.0			
0.0	0	7832	157.93925804714738	-inf	10.0	-inf	-118.0			
0.0	0	9881	278.933621518167	-inf	10.0	-inf	-118.0			
0.0	0	5786	223.40474669546572	-inf	10.0	-inf	-118.0			
0.0	0	3739	237.8856862218439	-inf	10.0	-inf	-118.0			
0.0	0	3744	232.69648460706847	-inf	10.0	-inf	-118.0			
0.0	0	7844	126.71189392973646	-inf	10.0	-inf	-118.0			
0.0	0	3749	185.6739879077339	-inf	10.0	-inf	-118.0			
0.0	0	7847	49.98463771044855	-inf	10.0	-inf	-118.0			
0.0	0	3753	174.9420920597921	-inf	10.0	-inf	-118.0			
0.0	0	5807	187.47107115314518	-inf	10.0	-inf	-118.0			
0.0	0	9903	76.94509823844425	-inf	10.0	-inf	-118.0			
0.0	0	3761	249.76172667158806	-inf	10.0	-inf	-118.0			
0.0	0	3770	53.01010502188232	-inf	10.0	-inf	-118.0			
0.0	0	3776	71.05132398727578	-inf	10.0	-inf	-118.0			
0.0	0	1731	197.49428640384144	-inf	10.0	-inf	-118.0			
0.0	0	3793	153.87697318448707	-inf	10.0	-inf	-118.0			
0.0	0	1773	122.96328121732486	-inf	10.0	-inf	-118.0			
0.0	0	3824	67.84958928991198	-inf	10.0	-inf	-118.0			
0.0	0	3826	215.03276719262388	-inf	10.0	-inf	-118.0			
0.0	0	7929	168.58044716792284	-inf	10.0	-inf	-118.0			
0.0	0	7933	228.6183638236964	-inf	10.0	-inf	-118.0			
0.0	0	5891	193.9508593453027	-inf	10.0	-inf	-118.0			
0.0	0	3847	224.52192849634264	-inf	10.0	-inf	-118.0			
0.0	0	5905	223.20186466179572	-inf	10.0	-inf	-118.0			
0.0	0	5909	41.23042502109957	-inf	10.0	-inf	-118.0			
0.0	0	7960	243.12619976480548	-inf	10.0	-inf	-118.0			
0.0	0	7966	274.53495999689295	-inf	10.0	-inf	-118.0			
0.0	0	1827	111.21334189047742	-inf	10.0	-inf	-118.0			
0.0	0	3876	188.26867379066064	-inf	10.0	-inf	-118.0			
0.0	0	7982	49.93319390842903	-inf	10.0	-inf	-118.0			
0.0	0	7983	241.06091311209258	-inf	10.0	-inf	-118.0			
0.0	0	1841	198.8249063535103	-inf	10.0	-inf	-118.0			
0.0	0	10035	239.13258908106914	-inf	10.0	-inf	-118.0			
0.0	0	7997	203.3861183025802	-inf	10.0	-inf	-118.0			
0.0	0	8000	258.2574307988609	-inf	10.0	-inf	-118.0			
0.0	0	8005	256.5830841950337	-inf	10.0	-inf	-118.0			
0.0	0	8008	235.64372856247687	-inf	10.0	-inf	-118.0			
0.0	0	5969	225.86834718133153	-inf	10.0	-inf	-118.0			
0.0	0	8038	81.07807335011977	-inf	10.0	-inf	-118.0			
0.0	0	8044	94.21069655592278	-inf	10.0	-inf	-118.0			
0.0	0	3972	116.2169565167357	-inf	10.0	-inf	-118.0			
